Ativo Meta,Empresa,Total,próxima entrada,proximo Balanco
WBA.NAS,"Walgreens Boots Alliance, Inc.",25.810000000000002,2025-06-20,2025-06-25
BAX.NYSE,Baxter International Inc.,25.81,2025-07-28,2025-07-31
CMG.NYSE,"Chipotle Mexican Grill, Inc.",22.59,2025-07-18,2025-07-23
MU.NAS,"Micron Technology, Inc.",22.59,2025-09-19,2025-09-24
F.NYSE,Ford Motor Company,22.59,2025-10-24,2025-10-29
CRWD.NAS,"CrowdStrike Holdings, Inc.",20.44,2025-08-22,2025-08-27
BBY.NYSE,"Best Buy Co., Inc.",20.44,2025-08-25,2025-08-28
EFX.NYSE,Equifax Inc.,20.44,2025-10-10,2025-10-15
EMN.NYSE,Eastman Chemical Company,19.36,2025-10-27,2025-10-30
MOS.NYSE,The Mosaic Company,19.36,2025-07-31,2025-08-05
PEP.NAS,"PepsiCo, Inc.",19.35,2025-10-02,2025-10-07
FANG.NAS,"Diamondback Energy, Inc.",19.35,2025-10-29,2025-11-03
BEN.NYSE,"Franklin Resources, Inc.",19.35,2025-07-29,2025-08-01
AOS.NYSE,A. O. Smith Corporation,19.35,2025-10-16,2025-10-21
HST.NAS,"Host Hotels & Resorts, Inc.",19.35,2025-07-25,2025-07-30
ON.NAS,ON Semiconductor Corporation,19.35,2025-10-29,2025-11-03
COF.NYSE,Capital One Financial Corporation,18.29,2025-10-20,2025-10-23
COO.NAS,"The Cooper Companies, Inc.",17.21,2025-08-22,2025-08-27
ROP.NAS,"Roper Technologies, Inc.",17.21,2025-10-17,2025-10-22
PG.NYSE,The Procter & Gamble Company,17.21,2025-10-13,2025-10-16
PSA.NYSE,Public Storage,17.21,2025-10-27,2025-10-30
UNH.NYSE,UnitedHealth Group Incorporated,17.21,2025-10-10,2025-10-15
AIG.NYSE,"American International Group, Inc.",17.21,2025-10-30,2025-11-04
BRO.NYSE,"Brown & Brown, Inc.",17.21,2025-10-22,2025-10-27
CTSH.NAS,Cognizant Technology Solutions Corporation,17.21,2025-10-24,2025-10-29
JBHT.NAS,"J.B. Hunt Transport Services, Inc.",17.200000000000003,2025-07-10,2025-07-15
COP.NYSE,ConocoPhillips,17.200000000000003,2025-10-27,2025-10-30
ZBH.NYSE,"Zimmer Biomet Holdings, Inc.",16.12,2025-10-27,2025-10-30
MMC.NYSE,"Marsh & McLennan Companies, Inc.",15.06,2025-07-14,2025-07-17
MKC.NYSE,"McCormick & Company, Incorporated",15.06,2025-09-25,2025-09-30
PGR.NYSE,The Progressive Corporation,15.06,2025-07-30,2025-08-04
MGM.NYSE,MGM Resorts International,13.980000000000004,2025-10-24,2025-10-29
GPC.NYSE,Genuine Parts Company,11.830000000000005,2025-10-16,2025-10-21
EL.NYSE,The Estée Lauder Companies Inc.,11.830000000000005,2025-08-15,2025-08-20
MRNA.NAS,"Moderna, Inc.",10.750000000000007,2025-07-29,2025-08-01
AKAM.NAS,"Akamai Technologies, Inc.",10.75,2025-11-03,2025-11-06
CZR.NAS,"Caesars Entertainment, Inc.",10.75,2025-07-24,2025-07-29
